benchmark,mode,baseDocs,bucketCapacity,docs,n,seed,threshold,wordsPerDoc,score,scoreError,unit
bench.ExtendableHashTableBenchmark.getHit,avgt,,2.0,,1000.0,42,,,0.006038496912386857,7.10007867412786e-05,us/op
bench.ExtendableHashTableBenchmark.getHit,avgt,,4.0,,1000.0,42,,,0.006796010055969024,6.111465810949161e-05,us/op
bench.ExtendableHashTableBenchmark.getHit,avgt,,8.0,,1000.0,42,,,0.00893474743235576,0.0005678621702533207,us/op
bench.ExtendableHashTableBenchmark.getHit,avgt,,2.0,,10000.0,42,,,0.008112545749025795,0.00022576261350140098,us/op
bench.ExtendableHashTableBenchmark.getHit,avgt,,4.0,,10000.0,42,,,0.009052015406586391,0.0002782070315999353,us/op
bench.ExtendableHashTableBenchmark.getHit,avgt,,8.0,,10000.0,42,,,0.010197930978509169,0.000204356348808355,us/op
bench.ExtendableHashTableBenchmark.getHit,thrpt,,2.0,,1000.0,42,,,164.50475764275194,1.9406580204142296,ops/us
bench.ExtendableHashTableBenchmark.getHit,thrpt,,4.0,,1000.0,42,,,147.3550805454409,0.8867656861051656,ops/us
bench.ExtendableHashTableBenchmark.getHit,thrpt,,8.0,,1000.0,42,,,111.45222886053901,5.825302085875904,ops/us
bench.ExtendableHashTableBenchmark.getHit,thrpt,,2.0,,10000.0,42,,,124.70260811852442,1.8720048141493497,ops/us
bench.ExtendableHashTableBenchmark.getHit,thrpt,,4.0,,10000.0,42,,,111.18055254454677,2.0819061718992495,ops/us
bench.ExtendableHashTableBenchmark.getHit,thrpt,,8.0,,10000.0,42,,,94.11444674950512,3.7385472516697082,ops/us
bench.ExtendableHashTableBenchmark.getMiss,avgt,,2.0,,1000.0,42,,,0.004964731011655966,2.556891924318007e-05,us/op
bench.ExtendableHashTableBenchmark.getMiss,avgt,,4.0,,1000.0,42,,,0.006246898749643338,0.00010046212314020526,us/op
bench.ExtendableHashTableBenchmark.getMiss,avgt,,8.0,,1000.0,42,,,0.009223131995787543,0.00010128203336885074,us/op
bench.ExtendableHashTableBenchmark.getMiss,avgt,,2.0,,10000.0,42,,,0.006819690723037089,0.0005647469161183592,us/op
bench.ExtendableHashTableBenchmark.getMiss,avgt,,4.0,,10000.0,42,,,0.00822590420791,0.0006506030765524364,us/op
bench.ExtendableHashTableBenchmark.getMiss,avgt,,8.0,,10000.0,42,,,0.011185393068774101,0.0003929893785271936,us/op
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,2.0,,1000.0,42,,,202.65180160277595,3.063713904736281,ops/us
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,4.0,,1000.0,42,,,160.61777939804722,3.487628750346602,ops/us
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,8.0,,1000.0,42,,,108.71209962810102,1.372389747323774,ops/us
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,2.0,,10000.0,42,,,150.577891889182,10.19514516012523,ops/us
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,4.0,,10000.0,42,,,124.49836881335027,3.885038712105421,ops/us
bench.ExtendableHashTableBenchmark.getMiss,thrpt,,8.0,,10000.0,42,,,90.80868341088936,3.9119131303481667,ops/us
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,2.0,,1000.0,42,,,34.812217089558686,0.17866645975891451,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,4.0,,1000.0,42,,,0.5543709515613953,0.00938710549775122,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,8.0,,1000.0,42,,,0.09501797847772879,0.0006303595461102009,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,2.0,,10000.0,42,,,264.95853239988503,1.2738000141058883,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,4.0,,10000.0,42,,,15.469194942199582,0.16116211762426585,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,avgt,,8.0,,10000.0,42,,,1.1787291468438936,0.0037955392649780227,us/op
bench.ExtendableHashTableBenchmark.putThenRemove,thrpt,,2.0,,1000.0,42,,,0.028803133776307,0.000206208172138187,ops/us
bench.ExtendableHashTableBenchmark.putThenRemove,thrpt,,4.0,,1000.0,42,,,1.8202980988760449,0.034561142118338974,ops/us
bench.ExtendableHashTableBenchmark.putThenRemove,thrpt,,8.0,,1000.0,42,,,10.538472426912854,0.12171389087981736,ops/us
bench.ExtendableHashTableBenchmark.putThenRemove,thrpt,,2.0,,10000.0,42,,,0.0037706752023451084,2.6691855527173382e-05,ops/us
bench.ExtendableHashTableBenchmark.putThenRemove,thrpt,,4.0,,10000.0,42,,,0.06485502148484816,0.0006127328667895651,ops/us
