benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.00645170370168468,,,,us/op,1,0.00645170370168468,0.00645170370168468,13.952008017179532,,,,B/op,2056.0637680916275,,,,MB/sec,14.0,,14.0,14.0,counts,4.0,,4.0,4.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.006859783554966552,,,,us/op,1,0.006859783554966552,0.006859783554966552,13.952008806816043,,,,B/op,1934.2621391797436,,,,MB/sec,13.0,,13.0,13.0,counts,4.0,,4.0,4.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.009138983000688085,,,,us/op,1,0.009138983000688085,0.009138983000688085,13.952011358279947,,,,B/op,1451.9757725219358,,,,MB/sec,9.0,,9.0,9.0,counts,4.0,,4.0,4.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.008415395259997233,,,,us/op,1,0.008415395259997233,0.008415395259997233,15.795209710739286,,,,B/op,1783.6817917831354,,,,MB/sec,12.0,,12.0,12.0,counts,4.0,,4.0,4.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.00941173646491874,,,,us/op,1,0.00941173646491874,0.00941173646491874,15.795211975006586,,,,B/op,1595.527995060422,,,,MB/sec,10.0,,10.0,10.0,counts,4.0,,4.0,4.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.010430457201451976,,,,us/op,1,0.010430457201451976,0.010430457201451976,15.795214819183101,,,,B/op,1440.3900002174576,,,,MB/sec,9.0,,9.0,9.0,counts,4.0,,4.0,4.0,ms,8.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,157.40155875963512,,,,ops/us,1,157.40155875963512,157.40155875963512,13.952008179833456,,,,B/op,2087.8886633447573,,,,MB/sec,14.0,,14.0,14.0,counts,4.0,,4.0,4.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,147.65422638843572,,,,ops/us,1,147.65422638843572,147.65422638843572,13.952008350100565,,,,B/op,1959.0343638789873,,,,MB/sec,13.0,,13.0,13.0,counts,4.0,,4.0,4.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,113.68708901776384,,,,ops/us,1,113.68708901776384,113.68708901776384,13.952011127598757,,,,B/op,1508.4407662802685,,,,MB/sec,10.0,,10.0,10.0,counts,4.0,,4.0,4.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,121.91856792310246,,,,ops/us,1,121.91856792310246,121.91856792310246,15.795210956485633,,,,B/op,1830.5546833651779,,,,MB/sec,12.0,,12.0,12.0,counts,4.0,,4.0,4.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,113.23448063053691,,,,ops/us,1,113.23448063053691,113.23448063053691,15.795210443638787,,,,B/op,1700.243547313991,,,,MB/sec,11.0,,11.0,11.0,counts,4.0,,4.0,4.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,102.0145064882423,,,,ops/us,1,102.0145064882423,102.0145064882423,15.795212493039859,,,,B/op,1533.01347280893,,,,MB/sec,11.0,,11.0,11.0,counts,5.0,,5.0,5.0,ms,8.0,10000.0,42,,,,
