benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.014502908172653173,,,,us/op,1,0.014502908172653173,0.014502908172653173,13.952653514701174,,,,B/op,907.959400532154,,,,MB/sec,7.0,,7.0,7.0,counts,4.0,,4.0,4.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.015237046505771625,,,,us/op,1,0.015237046505771625,0.015237046505771625,13.952524455437004,,,,B/op,868.99275590226,,,,MB/sec,6.0,,6.0,6.0,counts,3.0,,3.0,3.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.01762572228809673,,,,us/op,1,0.01762572228809673,0.01762572228809673,13.95251423355895,,,,B/op,752.0311512787417,,,,MB/sec,5.0,,5.0,5.0,counts,3.0,,3.0,3.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.017748635767617982,,,,us/op,1,0.017748635767617982,0.017748635767617982,15.802772739062092,,,,B/op,409.53039843884073,,,,MB/sec,6.0,,6.0,6.0,counts,4.0,,4.0,4.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.017488491965453466,,,,us/op,1,0.017488491965453466,0.017488491965453466,15.800699994421288,,,,B/op,809.4618694022668,,,,MB/sec,6.0,,6.0,6.0,counts,4.0,,4.0,4.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.019389249146088697,,,,us/op,1,0.019389249146088697,0.019389249146088697,15.800167480958807,,,,B/op,758.1156616570908,,,,MB/sec,5.0,,5.0,5.0,counts,3.0,,3.0,3.0,ms,8.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,69.04427256503512,,,,ops/us,1,69.04427256503512,69.04427256503512,13.95265116565172,,,,B/op,910.3468388021317,,,,MB/sec,7.0,,7.0,7.0,counts,4.0,,4.0,4.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,65.97669258825103,,,,ops/us,1,65.97669258825103,65.97669258825103,13.952522773583565,,,,B/op,873.7647977385153,,,,MB/sec,6.0,,6.0,6.0,counts,4.0,,4.0,4.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,57.23226678857439,,,,ops/us,1,57.23226678857439,57.23226678857439,13.952513564934934,,,,B/op,758.6880218927765,,,,MB/sec,5.0,,5.0,5.0,counts,4.0,,4.0,4.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,56.21448409031079,,,,ops/us,1,56.21448409031079,56.21448409031079,15.802792349411472,,,,B/op,410.1486068485053,,,,MB/sec,6.0,,6.0,6.0,counts,4.0,,4.0,4.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,57.31237231417108,,,,ops/us,1,57.31237231417108,57.31237231417108,15.800695355346173,,,,B/op,812.2388463624353,,,,MB/sec,6.0,,6.0,6.0,counts,4.0,,4.0,4.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,49.51896316363726,,,,ops/us,1,49.51896316363726,49.51896316363726,15.800369913067415,,,,B/op,725.9145286897109,,,,MB/sec,5.0,,5.0,5.0,counts,3.0,,3.0,3.0,ms,8.0,10000.0,42,,,,
