benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,78.17104583908386,0.691339819295114,ops/us,8,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,8,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,66.4864386366652,0.8568082996056609,ops/us,8,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,60.63642841822673,0.6136961429392546,ops/us,8,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,8,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,61.858753102718026,0.34129236605988494,ops/us,8,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,8,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,61.128879816257296,0.7726238509818345,ops/us,8,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,8,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,67.98252040920072,0.41537088318420684,ops/us,12,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,12,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,54.700580344621265,0.8509748482932552,ops/us,12,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,58.97712006464152,0.5237771691823524,ops/us,12,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,12,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,56.329150461397624,0.4153660997990418,ops/us,12,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,12,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,52.48661302017484,1.4872261844712853,ops/us,12,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,12,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,67.40646555259283,0.4033567171265342,ops/us,16,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,16,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,54.540016002578845,0.5411834446609753,ops/us,16,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,50.1962418809494,0.9319739836254289,ops/us,16,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,16,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,54.297319629146635,0.8426033587477799,ops/us,16,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,16,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,52.60310909262538,0.54827940156726,ops/us,16,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,16,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,51.9100902652579,1.258601031215627,ops/us,24,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,42.86736272770119,2.0583945995467823,ops/us,24,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,48.0347258824921,0.4902531536065466,ops/us,24,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,45.60346124206716,0.6455588219741829,ops/us,24,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,thrpt,43.28493731605226,0.3880065383749912,ops/us,24,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,thrpt,NaN,NaN,---,24,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01273126152851091,7.500477673988755e-05,us/op,8,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.015058858651651583,0.00016035321832965908,us/op,8,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.016666970370830078,0.0001939299883351415,us/op,8,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01608643898356499,7.674724771067866e-05,us/op,8,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.016331014757031272,0.00018214986511904096,us/op,8,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,8,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01471977482863183,8.010849406536864e-05,us/op,12,150000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,150000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018776449505797717,0.0003867760353972265,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.01691339666882678,0.00017057855278825132,us/op,12,250000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,250000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.017530426550097882,0.00022739756091404517,us/op,12,300000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,300000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.018656767467465675,0.00015551172412126184,us/op,12,350000,42
bench.ExtendableHashTableBenchmark.getHit,async,avgt,NaN,NaN,---,12,350000,42
bench.ExtendableHashTableBenchmark.getHit,primary,avgt,0.014803510455481573,0.0001216335304702367,us/op,16,150000,42
