benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.47810292415808,1.1016284833640422,ops/us,8,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,46.21231138445909,0.8601618007228575,ops/us,8,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,43.833611318187415,1.4140876333933328,ops/us,8,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,33.22578532178091,2.5278777051072296,ops/us,8,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.69818331354613,3.1078385555526538,ops/us,8,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,35.140417016858336,3.329090921113828,ops/us,12,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,42.78555912848347,3.237284854720687,ops/us,12,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,31.018398591635062,2.8097447952809134,ops/us,12,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,27.523694179801623,4.898800549782534,ops/us,12,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,39.95605479189275,2.8344357204747745,ops/us,12,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,33.89215934839961,3.021391466133024,ops/us,16,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,30.051106246358007,4.630757548840412,ops/us,16,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,26.965055068103464,3.800619879052109,ops/us,16,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,28.483990921897455,4.224054860642742,ops/us,16,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.643680492610454,3.075295281888886,ops/us,16,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,26.37540312124935,2.5743613329854798,ops/us,24,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.151008004019136,5.34152448712302,ops/us,24,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,29.2497380226943,0.46953723497945016,ops/us,24,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,27.824707180424067,0.29573554350557024,ops/us,24,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,thrpt,34.891775707096464,0.8344067597249162,ops/us,24,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,thrpt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.024527905104429662,0.0008173577035289954,us/op,8,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.02072336461964436,0.00023284896045911308,us/op,8,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,100000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.021595815968547646,0.0002485859895040278,us/op,8,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,140000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.026781915382802068,0.00036076979534549166,us/op,8,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,170000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.021833397861796045,0.00022449440040156365,us/op,8,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.putThenRemove,primary,avgt,0.023622422315527514,0.0001908704884752761,us/op,12,80000,42
bench.ExtendableHashTableBenchmark.putThenRemove,async,avgt,NaN,NaN,---,12,80000,42
