benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,42.834966828356876,0.9179448471157066,ops/us,8,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,8,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,42.60801693127193,0.8746322454507133,ops/us,8,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,8,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,34.58660722147783,0.7275969668724824,ops/us,8,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,8,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,38.32320875534413,0.5735634905085627,ops/us,8,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,8,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,38.715334377318946,0.6427501684336431,ops/us,8,200000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,34.70285220061473,0.6116129779462589,ops/us,12,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,12,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,31.911588809514424,0.62590700781442,ops/us,12,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,12,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,31.19919753175431,0.7747326690093205,ops/us,12,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,12,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,31.187039582276654,0.6791293159844363,ops/us,12,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,12,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,30.84842095805701,0.5157609299459552,ops/us,12,200000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,34.58689491105971,0.8102729657973516,ops/us,16,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,16,80000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,30.63060755080528,0.7559603186776976,ops/us,16,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,16,100000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,28.63536911237743,0.5907358510154911,ops/us,16,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,16,140000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,30.971629132360736,0.6620587044654873,ops/us,16,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,async,thrpt,NaN,NaN,---,16,170000,42
bench.ExtendableHashTableBenchmark.removeThenPut,primary,thrpt,28.85325478743818,0.5783087907804005,ops/us,16,200000,42
