benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,45.282822827487166,0.7102964205582193,ops/us,8,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,8,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,48.406931852767165,0.9774622892974456,ops/us,8,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,8,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,37.03533664821318,0.4962580155282848,ops/us,8,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,8,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,42.727787492915354,0.550643249118338,ops/us,8,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,8,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,41.047921337633916,0.3942012350047415,ops/us,8,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,42.164833681745144,0.8929765847069874,ops/us,12,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,12,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,37.231159115285585,0.39498369724240734,ops/us,12,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,12,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,34.294372977646965,0.7498524157911254,ops/us,12,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,12,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,34.572670704071285,0.31696793648360816,ops/us,12,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,12,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,33.00455504325653,0.375088046160594,ops/us,12,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,12,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,43.34642720401387,0.5881485248341107,ops/us,16,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,16,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,35.04614355377567,0.39551864676193077,ops/us,16,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,16,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,32.298724970556485,0.312842141477182,ops/us,16,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,16,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,34.06353327831001,0.3206055970829565,ops/us,16,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,16,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,32.17599456032037,0.21466744763300602,ops/us,16,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,16,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,32.25645256540617,0.4162937994510035,ops/us,24,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,24,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,30.236164285440832,0.49177469873218405,ops/us,24,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,24,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,30.69755990622744,0.28527209332584536,ops/us,24,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,24,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,28.633999686252626,0.17664806143679201,ops/us,24,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,24,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,thrpt,28.005844381384488,0.2460018839320704,ops/us,24,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,thrpt,NaN,NaN,---,24,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.02186643767423088,0.0002493073057897798,us/op,8,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,8,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.020610887270164354,0.00034678855445042004,us/op,8,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,8,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.027204874146147636,0.000338272912247376,us/op,8,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,8,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.023636514163723893,0.0005782033775413575,us/op,8,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,8,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.0254671433058439,0.0004396142339123637,us/op,8,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,8,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.023182244371845077,0.0005464269915221087,us/op,12,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,80000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.026871581545228385,0.00033698635791167594,us/op,12,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,100000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.0300588446521077,0.0002650544793725855,us/op,12,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,140000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.028805221043844514,0.0002355311237139956,us/op,12,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,170000,42
bench.ExtendableHashTableBenchmark.updateExisting,primary,avgt,0.030382372358028483,0.0003285867768444938,us/op,12,200000,42
bench.ExtendableHashTableBenchmark.updateExisting,async,avgt,NaN,NaN,---,12,200000,42
