benchmark,metric,mode,score,scoreError,scoreUnit,n,seed
bench.PerfectHashingBenchmark.buildIndex,primary,thrpt,0.00014072252572925044,6.804687700248823e-07,ops/us,200000,42
bench.PerfectHashingBenchmark.buildIndex,async,thrpt,NaN,NaN,---,200000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,thrpt,11320597.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,thrpt,452715224.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,thrpt,2263630448.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,primary,thrpt,3.297211810340186e-05,1.339678195805983e-06,ops/us,400000,42
bench.PerfectHashingBenchmark.buildIndex,async,thrpt,NaN,NaN,---,400000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,thrpt,1876976.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,thrpt,54064301.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,thrpt,750928602.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,primary,thrpt,2.0277044734906486e-05,8.892824573352569e-07,ops/us,600000,42
bench.PerfectHashingBenchmark.buildIndex,async,thrpt,NaN,NaN,---,600000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,thrpt,1693344.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,thrpt,210351616.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,thrpt,1015903232.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,primary,thrpt,1.5413444645821854e-05,5.15210531184548e-07,ops/us,800000,42
bench.PerfectHashingBenchmark.buildIndex,async,thrpt,NaN,NaN,---,800000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,thrpt,1086514.0,NaN,#,800000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,thrpt,132929446.0,NaN,#,800000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,thrpt,869058892.0,NaN,#,800000,42
bench.PerfectHashingBenchmark.buildIndex,primary,avgt,7528.056418721651,72.72797930307685,us/op,200000,42
bench.PerfectHashingBenchmark.buildIndex,async,avgt,NaN,NaN,---,200000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,avgt,10685470.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,avgt,427316240.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,avgt,2136632480.0,NaN,#,200000,42
bench.PerfectHashingBenchmark.buildIndex,primary,avgt,30563.933879558313,802.4435035026504,us/op,400000,42
bench.PerfectHashingBenchmark.buildIndex,async,avgt,NaN,NaN,---,400000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,avgt,1860624.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,avgt,53593299.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,avgt,744386598.0,NaN,#,400000,42
bench.PerfectHashingBenchmark.buildIndex,primary,avgt,49239.75658723122,2044.7318155019839,us/op,600000,42
bench.PerfectHashingBenchmark.buildIndex,async,avgt,NaN,NaN,---,600000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,avgt,1698465.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,avgt,210987760.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,avgt,1018975520.0,NaN,#,600000,42
bench.PerfectHashingBenchmark.buildIndex,primary,avgt,65186.59845262378,1253.745751716998,us/op,800000,42
bench.PerfectHashingBenchmark.buildIndex,async,avgt,NaN,NaN,---,800000,42
bench.PerfectHashingBenchmark.buildIndex,expansionPermille,avgt,1087955.0,NaN,#,800000,42
bench.PerfectHashingBenchmark.buildIndex,primaryCollisions,avgt,133105745.0,NaN,#,800000,42
bench.PerfectHashingBenchmark.buildIndex,secondaryTableSize,avgt,870211490.0,NaN,#,800000,42
