benchmark,metric,mode,score,scoreError,scoreUnit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,415.04112495833334,3.5504088160342033,ms/op,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,8,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,428.4594825,5.647561070479003,ms/op,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,8,250000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,1707.571944333333,18.352892707417276,ms/op,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,8,350000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,104.472672,0.9379525442286204,ms/op,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,12,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,397.9997586666668,3.498815055593907,ms/op,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,12,250000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,413.01363379166656,3.9988181822779114,ms/op,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,12,350000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,97.17220654166665,1.8804408848684004,ms/op,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,16,150000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,primary,ss,107.36032991666667,1.7279204779790622,ms/op,16,250000,42,,,,
bench.ExtendableHashTableBenchmark.buildFromScratch,async,ss,NaN,NaN,---,16,250000,42,,,,
