benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.006038496912386857,7.10007867412786e-05,0.005967496125645578,0.006109497699128136,us/op,5,0.006019140164097932,0.0060627705399170055,13.952004105205305,8.080851442438009e-06,13.951996024353862,13.952012186056747,B/op,2202.068930062772,29.911896738453507,2172.1570333243185,2231.9808268012252,MB/sec,74.0,,74.0,74.0,counts,13.0,,13.0,13.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.006796010055969024,6.111465810949161e-05,0.006734895397859532,0.006857124714078515,us/op,5,0.006769855831661566,0.006808050032196141,13.95200458943049,8.788465942727089e-06,13.951995800964548,13.952013377896433,B/op,1957.3690233609182,17.569797462042885,1939.7992258988752,1974.9388208229611,MB/sec,66.0,,66.0,66.0,counts,13.0,,13.0,13.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.00893474743235576,0.0005678621702533207,0.00836688526210244,0.009502609602609081,us/op,5,0.008760810033659071,0.009095896040133902,13.952006066503063,9.61753520034997e-06,13.951996448967863,13.952015684038264,B/op,1488.567074955134,90.6708184541669,1397.8962565009672,1579.237893409301,MB/sec,50.0,,50.0,50.0,counts,11.0,,11.0,11.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.008112545749025795,0.00022576261350140098,0.007886783135524393,0.008338308362527197,us/op,5,0.008046132919333818,0.008174585963479739,15.795205286676767,1.0412214626623162e-05,15.79519487446214,15.795215698891393,B/op,1855.7375790102947,48.30534925792753,1807.4322297523672,1904.042928268222,MB/sec,62.0,,62.0,62.0,counts,11.0,,11.0,11.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.009052015406586391,0.0002782070315999353,0.008773808374986456,0.009330222438186327,us/op,5,0.008974068425684066,0.009132380022317518,15.795206266265968,9.814511993416586e-06,15.795196451753974,15.795216080777962,B/op,1663.0968897439354,46.84701498952485,1616.2498747544105,1709.9439047334604,MB/sec,56.0,,56.0,56.0,counts,11.0,,11.0,11.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,avgt,0.010197930978509169,0.000204356348808355,0.009993574629700814,0.010402287327317523,us/op,5,0.010126319968787422,0.010247965175972967,15.795206816293964,8.74457457425646e-06,15.79519807171939,15.795215560868538,B/op,1476.2149945265646,30.75964162549722,1445.4553529010675,1506.9746361520617,MB/sec,49.0,,49.0,49.0,counts,10.0,,10.0,10.0,ms,8.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,164.50475764275194,1.9406580204142296,162.56409962233772,166.44541566316616,ops/us,5,164.0754988329261,165.28279057396864,13.952004211363384,7.326985120042495e-06,13.951996884378264,13.952011538348504,B/op,2187.4273528034073,31.647158965082625,2155.7801938383245,2219.07451176849,MB/sec,73.0,,73.0,73.0,counts,13.0,,13.0,13.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,147.3550805454409,0.8867656861051656,146.46831485933572,148.24184623154608,ops/us,5,146.98886683935942,147.62354325388495,13.952004641130774,8.32405421654805e-06,13.951996317076558,13.95201296518499,B/op,1958.80092825142,16.93938124774079,1941.861547003679,1975.7403094991607,MB/sec,66.0,,66.0,66.0,counts,14.0,,14.0,14.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,111.45222886053901,5.825302085875904,105.6269267746631,117.27753094641491,ops/us,5,110.02996998734746,114.01740100476665,13.952006122362189,1.154555333702804e-05,13.951994576808852,13.952017667915525,B/op,1482.5847477124773,78.3493364771251,1404.2354112353523,1560.9340841896023,MB/sec,50.0,,50.0,50.0,counts,11.0,,11.0,11.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.getHit,getHit,thrpt,124.70260811852442,1.8720048141493497,122.83060330437507,126.57461293267377,ops/us,5,123.9507309005644,125.26940121112868,15.795205486850893,1.0584283474071347e-05,15.795194902567419,15.795216071134368,B/op,1877.9899437327763,27.836049683400272,1850.153894049376,1905.8259934161765,MB/sec,63.0,,63.0,63.0,counts,12.0,,12.0,12.0,ms,2.0,10000.0,42,,,,
