benchmark,bench,mode,score,scoreError,ciLow,ciHigh,unit,rawCount,rawMin,rawMax,gc_alloc_rate_norm_score,gc_alloc_rate_norm_scoreError,gc_alloc_rate_norm_ciLow,gc_alloc_rate_norm_ciHigh,gc_alloc_rate_norm_unit,gc_alloc_rate_score,gc_alloc_rate_scoreError,gc_alloc_rate_ciLow,gc_alloc_rate_ciHigh,gc_alloc_rate_unit,gc_count_score,gc_count_scoreError,gc_count_ciLow,gc_count_ciHigh,gc_count_unit,gc_time_score,gc_time_scoreError,gc_time_ciLow,gc_time_ciHigh,gc_time_unit,bucketCapacity,n,seed,baseDocs,wordsPerDoc,docs,threshold
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.01341766718989167,0.0003024100899367966,0.013115257099954872,0.013720077279828467,us/op,5,0.01330072251026382,0.013495533964668282,13.952648702155338,0.000419679451450722,13.952229022703888,13.953068381606789,B/op,983.7923968606962,22.330562626119274,961.4618342345768,1006.1229594868155,MB/sec,33.0,,33.0,33.0,counts,7.0,,7.0,7.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.015584092801147953,0.0009676736483858349,0.014616419152762117,0.016551766449533788,us/op,5,0.015296960288511912,0.015929947330307993,13.952592752701133,0.0004864335125659606,13.952106319188566,13.9530791862137,B/op,851.3548270939758,53.18033315589556,798.1744939380802,904.5351602498714,MB/sec,29.0,,29.0,29.0,counts,7.0,,7.0,7.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.017433400664005526,0.0007500292811519599,0.016683371382853567,0.018183429945157484,us/op,5,0.017120949113115617,0.017644644785690753,13.95257063278697,0.0005393641986396325,13.95203126858833,13.953109996985608,B/op,761.0773987740107,33.77135165419767,727.306047119813,794.8487504282084,MB/sec,25.0,,25.0,25.0,counts,7.0,,7.0,7.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.01703610066305168,0.0003441445022429347,0.016691956160808746,0.017380245165294617,us/op,5,0.01694167463135254,0.017143797430109617,15.80251495714958,0.0004061804710233025,15.802108776678557,15.802921137620602,B/op,429.86717025037615,9.2044021517543,420.6627680986218,439.07157240213047,MB/sec,30.0,,30.0,30.0,counts,7.0,,7.0,7.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.017163655284307,0.00033806282754262224,0.01682559245676438,0.017501718111849623,us/op,5,0.017051036810477847,0.017247244761130775,15.800649125301003,0.0006072750047632419,15.80004185029624,15.801256400305766,B/op,826.4434288272078,16.222783944484338,810.2206448827234,842.6662127716921,MB/sec,29.0,,29.0,29.0,counts,7.0,,7.0,7.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,avgt,0.01895042892059321,0.0014246659894651104,0.017525762931128102,0.02037509491005832,us/op,5,0.018621709327399396,0.01945203662620255,15.800112434647142,0.0005990414809633973,15.799513393166178,15.800711476128106,B/op,789.2346324741363,58.81080104931855,730.4238314248178,848.0454335234549,MB/sec,26.0,,26.0,26.0,counts,6.0,,6.0,6.0,ms,8.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,74.95036160201708,1.2262492745065292,73.72411232751055,76.17661087652361,ops/us,5,74.43787796018368,75.2603348775028,13.952646358290107,0.00040302418241814746,13.952243334107688,13.953049382472525,B/op,989.3011244869255,15.376154714451712,973.9249697724738,1004.6772792013771,MB/sec,33.0,,33.0,33.0,counts,8.0,,8.0,8.0,ms,2.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,66.07749637679488,5.013275281177511,61.06422109561737,71.0907716579724,ops/us,5,64.14372802379057,67.44892162838745,13.95257671140464,0.00044940351071620307,13.952127307893925,13.953026114915357,B/op,876.4143828267037,66.83003921527845,809.5843436114252,943.2444220419821,MB/sec,30.0,,30.0,30.0,counts,8.0,,8.0,8.0,ms,4.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,58.36191358238617,1.9004303381266747,56.4614832442595,60.26234392051285,ops/us,5,58.04342933603501,59.23001753391573,13.952561257336663,0.0005419661172000787,13.952019291219463,13.953103223453864,B/op,774.094426607048,25.003781791303247,749.0906448157448,799.0982083983513,MB/sec,26.0,,26.0,26.0,counts,6.0,,6.0,6.0,ms,8.0,1000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,59.12090433721694,1.9264372217602503,57.19446711545669,61.047341558977195,ops/us,5,58.516163511257176,59.78659029202017,15.802483141086435,0.0004777846681886581,15.802005356418247,15.802960925754624,B/op,432.88595708578094,15.246174723409485,417.6397823623715,448.1321318091904,MB/sec,30.0,,30.0,30.0,counts,7.0,,7.0,7.0,ms,2.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,54.91199033672499,0.9249755952052249,53.987014741519765,55.836965931930216,ops/us,5,54.6439822386299,55.24828384789827,15.80099369310596,0.0006252044710871779,15.800368488634874,15.801618897577047,B/op,778.9767484573988,13.248555707786432,765.7281927496124,792.2253041651852,MB/sec,28.0,,28.0,28.0,counts,6.0,,6.0,6.0,ms,4.0,10000.0,42,,,,
bench.ExtendableHashTableBenchmark.updateExisting,updateExisting,thrpt,51.11902266173987,2.105196725806175,49.013825935933696,53.22421938754604,ops/us,5,50.43813617980415,51.89613288186952,15.800277789158855,0.0006957278981924575,15.799582061260663,15.800973517057047,B/op,764.4123571260841,30.83897234995872,733.5733847761254,795.2513294760428,MB/sec,26.0,,26.0,26.0,counts,7.0,,7.0,7.0,ms,8.0,10000.0,42,,,,
